Date,Open,High,Low,Close,Volume
2023-02-24,100.98,100.99,100.16,100.5,313833
2023-02-27,99.95,101.1,99.8,100.74,336094
2023-02-28,103.02,103.61,102.29,103.39,354713
2023-03-01,104.22,104.86,104.0,104.05,310295
2023-03-02,105.4,106.48,104.6,105.46,257703
2023-03-03,106.4,107.0,104.81,105.14,399529
2023-03-06,102.87,103.01,101.21,101.82,370464
2023-03-07,102.0,103.95,101.46,102.62,429900
2023-03-08,100.52,102.0,100.42,100.95,304897
2023-03-09,100.39,101.04,99.36,100.45,314457
2023-03-10,103.55,104.03,102.75,102.84,394222
2023-03-13,104.36,104.64,103.87,103.89,445851
2023-03-14,105.34,106.63,104.4,105.2,310980
2023-03-15,103.38,104.15,103.18,103.97,439517
2023-03-16,103.55,105.43,103.18,103.9,406767
2023-03-17,102.2,103.54,101.93,103.3,671092
2023-03-20,101.84,103.13,101.81,102.47,569725
2023-03-21,103.41,103.45,102.81,103.23,540943
2023-03-22,100.91,101.92,100.16,100.59,658571
2023-03-23,102.68,103.24,101.87,103.21,348045
2023-03-24,103.59,103.69,103.33,103.55,752844
2023-03-27,107.49,107.65,106.48,106.79,478066
2023-03-28,106.02,106.39,105.93,105.95,367661
2023-03-29,107.88,108.02,107.45,108.01,520458
2023-03-30,109.42,110.24,108.63,109.15,293488
2023-03-31,109.47,110.56,108.96,109.24,886540
2023-04-03,108.48,108.75,108.38,108.44,491132
2023-04-04,107.49,108.41,107.48,107.72,249178
2023-04-05,105.95,106.51,105.32,106.12,287471
2023-04-06,106.06,106.96,105.56,106.02,365270
2023-04-07,107.32,108.01,106.38,107.55,358186
2023-04-10,110.05,110.28,108.97,109.46,529980
2023-04-11,110.46,111.12,109.89,110.07,626288
2023-04-12,109.36,110.27,108.84,108.89,660441
2023-04-13,109.1,110.78,107.16,108.22,548873
2023-04-14,107.93,108.95,106.19,107.25,309503
2023-04-17,108.31,108.85,107.31,107.7,686340
2023-04-18,108.07,108.42,107.64,107.91,715888
2023-04-19,105.28,105.67,104.14,105.36,209474
2023-04-20,105.01,105.19,103.38,104.05,356469
2023-04-21,104.74,105.44,104.35,105.02,387300
2023-04-24,102.46,103.59,102.41,102.71,328472
2023-04-25,101.45,102.3,101.09,101.8,664667
2023-04-26,101.43,101.51,101.3,101.34,530662
2023-04-27,100.05,100.97,99.74,99.88,454401
2023-04-28,100.36,100.81,99.58,99.95,276505
2023-05-01,96.68,96.83,96.61,96.76,199882
2023-05-02,98.02,98.77,97.62,98.7,308865
2023-05-03,101.92,102.35,101.58,101.79,321155
2023-05-04,99.36,99.49,98.62,98.98,312283
2023-05-05,100.38,100.75,99.67,100.37,194589
2023-05-08,98.68,99.12,97.65,98.73,244188
2023-05-09,99.73,100.44,99.36,99.5,374044
2023-05-10,103.46,103.78,102.77,102.87,503071
2023-05-11,100.12,100.96,98.98,100.14,359444
2023-05-12,100.47,101.47,98.63,101.04,403017
2023-05-15,102.87,103.36,102.69,103.1,428593
2023-05-16,101.09,102.11,100.69,101.16,429312
2023-05-17,99.0,100.42,98.54,99.72,702680
2023-05-18,99.9,100.38,99.58,99.59,323202
2023-05-19,101.03,101.63,101.02,101.34,477040
2023-05-22,103.35,103.38,102.92,103.14,263673
2023-05-23,104.3,105.04,104.16,104.22,696275
2023-05-24,103.24,103.98,102.67,103.36,585196
2023-05-25,104.8,104.96,103.8,104.12,647646
2023-05-26,104.15,105.44,103.67,104.38,460251
2023-05-29,100.67,101.25,100.51,100.94,420339
2023-05-30,100.63,101.61,100.22,100.51,268099
2023-05-31,102.96,103.27,102.6,102.61,498063
2023-06-01,103.16,103.77,102.94,103.16,748519
2023-06-02,101.41,102.27,100.82,101.81,150292
2023-06-05,98.36,99.05,97.6,98.09,871708
2023-06-06,102.02,102.02,101.26,101.77,320697
2023-06-07,99.13,100.43,98.1,98.31,531520
2023-06-08,99.39,100.0,98.46,99.48,321329
2023-06-09,101.28,101.52,101.04,101.2,415843
2023-06-12,101.28,101.93,101.05,101.51,606777
2023-06-13,98.32,99.63,97.94,98.91,410979
2023-06-14,96.59,96.8,95.62,96.56,892376
2023-06-15,97.45,98.09,97.02,97.12,448558
2023-06-16,98.18,99.3,98.12,98.58,568807
2023-06-19,96.34,97.07,96.03,96.6,347558
2023-06-20,95.63,96.32,95.24,96.09,363376
2023-06-21,97.47,97.95,96.43,96.95,378383
2023-06-22,95.74,97.15,95.67,95.98,537481
2023-06-23,95.22,95.6,94.76,95.0,845393
2023-06-26,94.78,96.03,94.3,95.1,447860
2023-06-27,95.48,96.37,95.43,95.45,267886
2023-06-28,98.23,98.71,97.81,98.48,348199
2023-06-29,97.21,98.94,96.71,98.13,259117
2023-06-30,97.79,98.47,97.55,97.76,534191
2023-07-03,96.18,96.33,95.45,95.97,446832
2023-07-04,95.25,96.08,94.86,96.05,291001
2023-07-05,95.94,96.18,95.76,96.0,384366
2023-07-06,97.12,97.46,96.41,97.28,637555
2023-07-07,96.68,98.2,96.42,97.1,529038
2023-07-10,96.13,96.73,95.85,96.23,353999
2023-07-11,96.2,97.61,95.95,96.96,593211
2023-07-12,99.14,99.7,98.54,99.04,515442
2023-07-13,98.61,98.68,98.1,98.14,357119
2023-07-14,98.19,99.76,97.93,98.68,475405
2023-07-17,100.96,101.56,100.82,100.99,918407
2023-07-18,101.64,102.1,99.91,101.07,287924
2023-07-19,103.5,103.83,102.9,103.45,658383
2023-07-20,102.18,102.64,101.69,102.39,418906
2023-07-21,101.76,102.78,101.16,102.13,566162
2023-07-24,101.82,101.87,101.43,101.75,517059
2023-07-25,101.84,102.03,101.05,101.9,493661
2023-07-26,103.99,104.41,103.05,103.73,416483
2023-07-27,102.27,103.57,101.21,102.9,442956
2023-07-28,101.53,102.39,100.51,101.09,576051
2023-07-31,103.23,103.51,102.72,103.4,529126
2023-08-01,105.22,105.64,104.76,104.95,250333
2023-08-02,101.37,102.97,100.7,101.66,528572
2023-08-03,101.86,103.01,101.27,102.39,737551
2023-08-04,104.88,105.64,104.59,105.12,627466
2023-08-07,104.88,106.3,103.18,105.28,480381
2023-08-08,104.22,104.51,103.33,104.37,217173
2023-08-09,105.89,106.7,105.16,105.61,557410
2023-08-10,107.07,107.37,106.35,106.61,573007
2023-08-11,105.35,105.45,104.58,105.26,783125
2023-08-14,104.0,104.48,103.55,104.23,304891
2023-08-15,103.28,103.92,102.91,103.47,403815
2023-08-16,102.66,103.57,101.8,102.41,359742
2023-08-17,98.99,99.69,98.38,98.54,398177
2023-08-18,95.32,95.56,94.54,95.45,225585
2023-08-21,95.05,95.17,94.5,95.1,367906
2023-08-22,95.66,96.26,94.86,95.95,373519
2023-08-23,94.16,94.79,93.43,94.08,381420
2023-08-24,95.32,95.83,93.61,94.95,822556
2023-08-25,93.84,95.08,92.89,94.94,345263
2023-08-28,94.36,94.81,93.73,94.26,370760
2023-08-29,95.83,96.96,95.49,96.04,683284
2023-08-30,98.33,99.42,97.73,99.25,353939
2023-08-31,99.43,99.81,98.51,99.31,704599
2023-09-01,99.9,100.13,99.33,99.94,525335
2023-09-04,99.81,99.81,99.58,99.66,344762
2023-09-05,100.82,101.63,100.2,101.38,334191
2023-09-06,102.01,102.06,101.0,101.15,464885
2023-09-07,98.96,99.8,98.29,98.91,407837
2023-09-08,96.15,97.21,96.0,96.29,457155
2023-09-11,95.77,95.91,95.16,95.19,351504
2023-09-12,93.42,94.02,92.92,93.18,554146
2023-09-13,92.07,93.25,91.66,91.77,338455
2023-09-14,91.21,91.25,90.44,90.79,366190
2023-09-15,88.84,89.98,88.83,89.58,409742
2023-09-18,90.71,91.31,88.77,90.11,269020
2023-09-19,88.55,89.31,88.42,88.67,388381
2023-09-20,86.95,87.11,86.24,86.85,405511
2023-09-21,84.63,85.01,84.06,84.32,249824
2023-09-22,85.89,86.89,85.39,86.13,218197
2023-09-25,85.87,86.0,84.97,85.76,713379
2023-09-26,86.42,86.94,85.5,86.16,395442
2023-09-27,86.68,86.96,86.4,86.69,415459
2023-09-28,84.65,84.68,84.36,84.48,342693
2023-09-29,83.82,84.46,83.72,84.36,813799
2023-10-02,83.79,84.31,83.48,84.19,404844
2023-10-03,81.7,82.86,81.7,82.08,218350
2023-10-04,81.28,81.76,80.45,81.16,531354
2023-10-05,83.03,83.74,81.55,81.81,299820
2023-10-06,83.06,83.64,82.05,82.97,520364
2023-10-09,86.9,87.25,86.71,86.95,416789
2023-10-10,90.06,90.46,89.91,90.09,722461
2023-10-11,90.34,90.34,89.5,89.99,529222
2023-10-12,90.4,90.62,89.66,90.14,379016
2023-10-13,89.44,90.16,88.89,89.85,768209
2023-10-16,88.98,89.03,88.34,88.62,1280197
2023-10-17,89.64,90.89,89.32,89.65,357290
2023-10-18,91.61,91.87,90.44,91.31,674903
2023-10-19,89.55,90.36,89.46,90.27,510811
2023-10-20,88.47,89.28,88.02,89.03,526234
2023-10-23,88.37,88.74,87.71,88.16,271404
2023-10-24,84.07,84.73,83.76,84.68,300972
2023-10-25,85.04,85.56,84.88,84.9,770068
2023-10-26,87.77,88.15,87.63,87.66,468756
2023-10-27,87.72,87.86,87.37,87.66,358515
2023-10-30,85.94,86.42,84.86,85.82,896402
2023-10-31,85.92,86.22,85.78,85.83,714687
2023-11-01,86.85,86.86,86.04,86.7,590436
2023-11-02,86.11,86.59,85.81,86.25,301338
2023-11-03,84.81,85.02,84.56,84.82,440654
2023-11-06,85.74,85.92,84.63,84.74,789473
2023-11-07,84.89,85.66,84.17,84.51,199108
2023-11-08,84.99,85.61,84.43,84.79,237011
2023-11-09,86.16,86.9,85.66,86.02,323217
2023-11-10,84.44,84.83,84.33,84.69,649425
2023-11-13,84.36,84.51,84.15,84.28,484815
2023-11-14,84.29,84.84,83.96,84.37,533138
2023-11-15,85.47,85.99,84.83,85.15,478441
2023-11-16,84.78,85.27,84.6,85.09,461525
2023-11-17,85.52,86.97,84.82,86.33,712728
2023-11-20,86.39,86.8,86.23,86.59,1836331
2023-11-21,84.33,84.5,84.04,84.1,533485
2023-11-22,87.0,88.11,85.88,86.16,743923
2023-11-23,85.45,86.13,85.06,85.1,373163
2023-11-24,86.31,87.21,86.26,86.65,834700
2023-11-27,88.66,88.83,88.25,88.74,461119
2023-11-28,87.11,87.47,86.79,87.45,477026
2023-11-29,85.01,85.85,84.59,85.07,370457
2023-11-30,84.23,85.38,83.58,84.54,328772
2023-12-01,83.09,84.2,82.24,83.64,358424
2023-12-04,84.56,84.96,84.34,84.41,302450
2023-12-05,80.31,80.8,79.87,80.24,266674
2023-12-06,80.65,81.02,80.1,80.7,922085
2023-12-07,79.77,80.36,79.18,79.66,530316
2023-12-08,78.22,78.34,77.11,77.59,657546
2023-12-11,77.64,77.72,76.74,77.6,543468
2023-12-12,76.52,76.81,76.02,76.63,253144
2023-12-13,78.19,78.51,77.77,77.92,450687
2023-12-14,78.11,78.7,77.55,78.63,312690
2023-12-15,77.75,77.86,77.17,77.52,323516
2023-12-18,77.74,78.63,77.72,77.99,425265
2023-12-19,77.2,78.19,77.0,77.46,475072
2023-12-20,80.57,81.06,80.04,80.53,461503
2023-12-21,79.89,80.68,79.18,79.36,467722
2023-12-22,80.27,80.97,79.78,80.51,396686
2023-12-25,81.49,82.22,80.92,81.18,450312
2023-12-26,80.45,80.68,80.32,80.33,730658
2023-12-27,78.5,78.95,78.09,78.94,1060425
2023-12-28,79.1,79.32,78.78,78.81,693947
2023-12-29,77.56,77.86,77.2,77.82,407255
2024-01-01,80.04,81.36,78.85,80.51,519857
2024-01-02,76.21,77.03,75.96,76.45,651477
2024-01-03,76.27,76.72,76.03,76.49,663360
2024-01-04,76.23,76.35,75.59,76.05,723347
2024-01-05,76.84,77.36,76.26,77.07,728611
2024-01-08,79.06,79.5,78.46,78.59,522477
2024-01-09,78.83,79.74,78.52,78.76,397918
2024-01-10,78.23,79.02,77.99,78.45,241107
2024-01-11,77.34,78.06,77.25,77.6,680566
2024-01-12,77.97,78.16,77.57,77.9,567746
2024-01-15,78.94,80.3,78.13,79.59,316051
2024-01-16,77.26,79.07,76.41,77.93,446830
2024-01-17,79.19,79.59,79.13,79.47,378913
2024-01-18,81.0,81.39,80.0,80.79,372705
2024-01-19,80.26,80.49,79.48,80.2,888748
2024-01-22,79.31,79.6,78.92,79.3,384716
2024-01-23,78.81,79.07,78.49,78.87,1166394
2024-01-24,78.43,79.42,78.3,79.12,420445
2024-01-25,78.18,78.61,77.36,78.28,333254
2024-01-26,78.82,79.59,78.66,79.39,467168
2024-01-29,77.64,78.11,77.18,77.38,1158281
2024-01-30,78.42,78.84,77.87,78.42,416918
2024-01-31,76.61,76.8,76.43,76.63,543383
2024-02-01,77.16,77.37,76.87,77.03,179821
2024-02-02,79.28,79.36,79.0,79.18,559852
2024-02-05,76.61,76.63,76.52,76.54,256243
2024-02-06,75.49,76.05,74.21,75.39,422467
2024-02-07,75.91,76.16,75.25,76.09,761733
2024-02-08,73.95,74.49,73.74,74.35,400319
2024-02-09,74.87,75.7,74.04,74.77,589018
2024-02-12,74.05,74.36,73.19,73.62,404518
2024-02-13,71.58,72.16,71.17,71.29,386982
2024-02-14,73.31,73.5,73.3,73.38,494157
2024-02-15,73.25,74.01,73.05,73.08,682251
2024-02-16,71.57,72.51,70.71,71.7,459929
2024-02-19,71.41,71.53,70.9,71.3,438912
2024-02-20,70.19,70.85,69.66,70.37,301768
2024-02-21,69.44,69.65,69.4,69.4,225630
2024-02-22,71.65,71.78,70.54,71.08,465376
2024-02-23,70.71,70.89,70.3,70.49,411118
2024-02-26,71.62,72.15,71.12,71.19,492135
2024-02-27,71.32,72.07,70.4,71.55,668940
2024-02-28,71.6,72.51,71.35,71.8,612850
2024-02-29,70.29,70.87,70.09,70.3,311232
2024-03-01,69.18,69.46,68.86,69.03,489252
2024-03-04,68.6,68.9,68.45,68.66,493813
2024-03-05,70.14,70.49,69.37,69.85,400344
2024-03-06,67.92,68.82,67.82,68.06,179785
2024-03-07,66.16,66.29,65.74,65.8,320440
2024-03-08,66.49,66.54,65.53,66.23,424798
2024-03-11,66.49,67.06,66.34,66.79,596194
2024-03-12,66.75,67.08,66.52,66.6,389108
2024-03-13,66.64,67.44,65.86,66.7,252501
2024-03-14,66.0,66.5,65.68,65.73,758458
2024-03-15,66.29,66.7,65.94,66.43,433657
2024-03-18,64.21,64.53,63.83,64.13,366699
2024-03-19,65.54,65.63,65.3,65.39,543905
2024-03-20,63.92,64.92,63.87,64.64,579522
2024-03-21,67.08,67.82,66.48,67.58,425824
2024-03-22,68.22,68.38,68.04,68.19,347921
2024-03-25,69.33,69.58,69.11,69.36,349991
2024-03-26,70.43,70.52,70.07,70.15,603164
2024-03-27,70.34,70.53,70.24,70.28,415306
2024-03-28,71.58,73.16,71.13,71.94,535137
2024-03-29,72.93,73.35,72.67,72.83,204614
2024-04-01,74.31,74.71,74.22,74.54,359996
2024-04-02,74.34,74.43,74.02,74.41,376333
2024-04-03,73.62,73.83,72.85,73.77,362994
2024-04-04,75.58,76.32,75.03,75.48,201354
2024-04-05,75.49,76.32,74.98,75.92,366409
2024-04-08,77.86,78.58,77.53,78.21,820241
2024-04-09,78.36,79.22,77.98,79.06,494235
2024-04-10,79.24,79.58,77.8,78.56,354600
2024-04-11,79.36,79.87,79.27,79.67,328286
2024-04-12,80.24,80.6,79.53,80.52,254519
2024-04-15,80.67,81.26,80.53,81.04,478879
2024-04-16,80.9,81.49,80.42,81.11,319707
2024-04-17,79.34,79.99,79.29,79.48,372969
2024-04-18,80.37,80.66,79.97,80.17,623625
2024-04-19,78.56,78.99,78.32,78.5,636664
2024-04-22,78.23,78.26,77.34,78.13,559181
2024-04-23,80.31,80.88,80.15,80.5,225147
2024-04-24,80.18,80.55,79.72,80.2,348288
2024-04-25,82.02,82.43,80.63,81.62,698758
2024-04-26,80.97,81.26,80.14,80.98,271805
2024-04-29,80.92,81.64,80.81,80.82,720131
2024-04-30,80.09,81.19,79.73,80.74,431470
2024-05-01,82.0,82.3,80.83,81.83,636742
2024-05-02,83.13,83.97,82.48,83.05,369149
2024-05-03,81.43,81.67,80.1,81.01,273449
2024-05-06,84.7,85.9,83.66,85.64,290449
2024-05-07,86.91,87.79,86.33,86.9,779727
2024-05-08,88.96,89.26,88.14,89.0,382820
2024-05-09,88.79,89.52,88.59,88.77,266985
2024-05-10,90.68,91.07,90.57,90.91,603455
2024-05-13,89.16,89.85,88.43,89.09,234839
2024-05-14,90.57,90.96,89.54,90.32,407932
2024-05-15,91.87,92.49,91.85,91.86,498462
2024-05-16,91.49,92.29,91.36,91.6,489405
2024-05-17,93.51,94.11,92.76,93.6,515333
2024-05-20,93.91,95.08,93.74,94.06,419832
2024-05-21,94.04,94.96,93.91,94.03,162659
2024-05-22,94.1,95.1,93.91,94.38,479790
2024-05-23,97.51,98.52,96.91,98.3,427293
2024-05-24,98.7,99.05,97.66,98.18,401661
2024-05-27,96.16,97.23,95.9,96.85,528967
2024-05-28,98.13,98.74,97.85,98.19,591053
2024-05-29,96.86,97.66,95.97,97.38,473526
2024-05-30,96.22,97.12,96.21,96.34,792151
2024-05-31,92.66,93.64,92.13,93.02,1045715
2024-06-03,93.65,93.98,93.39,93.68,487486
2024-06-04,92.15,92.67,91.63,92.47,378221
2024-06-05,92.96,93.46,91.79,93.45,258965
2024-06-06,95.73,96.09,95.54,95.63,547526
2024-06-07,92.77,92.97,92.18,92.29,213506
2024-06-10,90.72,90.82,90.4,90.61,853080
2024-06-11,90.59,91.06,90.18,90.56,642746
2024-06-12,87.83,88.33,87.71,88.21,352212
2024-06-13,88.55,89.07,88.05,88.59,570764
2024-06-14,88.54,88.64,87.6,88.39,306751
2024-06-17,89.99,90.24,89.67,90.23,279625
2024-06-18,87.29,87.85,86.76,86.99,589875
2024-06-19,86.33,86.94,85.96,86.36,289257
2024-06-20,85.81,86.53,85.33,85.7,479467
2024-06-21,84.55,85.14,83.64,84.74,412742
2024-06-24,82.23,82.43,81.69,82.41,812122
2024-06-25,82.08,82.25,81.09,82.02,492629
2024-06-26,80.54,80.69,79.81,80.43,817410
2024-06-27,78.58,79.33,78.29,78.48,614368
2024-06-28,78.41,79.2,76.81,78.75,319430
2024-07-01,77.94,78.97,77.58,78.18,272325
2024-07-02,79.99,80.06,79.71,80.01,186660
2024-07-03,79.08,80.97,78.88,79.69,440071
2024-07-04,81.04,81.06,80.07,80.72,142661
2024-07-05,78.51,78.66,78.02,78.42,312451
2024-07-08,77.15,77.64,76.94,77.15,165362
2024-07-09,77.9,79.28,77.82,78.14,338153
2024-07-10,76.28,76.87,75.95,76.04,575175
2024-07-11,75.66,76.2,75.0,75.76,305234
2024-07-12,76.51,76.52,75.87,75.94,347343
2024-07-15,73.4,73.69,73.21,73.3,360837
2024-07-16,74.33,75.24,74.12,74.79,482393
2024-07-17,75.84,76.12,75.01,75.63,239533
2024-07-18,72.15,72.54,71.92,72.32,452046
2024-07-19,71.4,71.71,70.97,71.56,415277
2024-07-22,70.62,70.82,70.49,70.7,286093
2024-07-23,71.47,71.72,71.08,71.53,291900
2024-07-24,70.51,70.89,70.34,70.46,701602
2024-07-25,71.69,71.87,71.36,71.49,577486
2024-07-26,71.42,71.48,71.2,71.3,512924
2024-07-29,71.47,71.86,71.42,71.7,309365
2024-07-30,71.03,71.58,70.17,71.43,376224
2024-07-31,73.36,74.19,73.36,73.62,256536
2024-08-01,71.85,72.29,71.41,71.77,213284
2024-08-02,72.22,72.61,71.73,71.99,357337
2024-08-05,72.59,73.11,71.82,72.09,339309
2024-08-06,73.55,73.99,72.86,73.97,261700
2024-08-07,75.2,75.52,75.18,75.19,264459
2024-08-08,74.87,75.09,74.75,74.96,499134
2024-08-09,75.47,76.12,75.29,75.6,357621
2024-08-12,76.83,77.14,76.77,76.8,228892
2024-08-13,78.16,79.25,77.15,78.26,973762
2024-08-14,76.95,77.16,75.45,77.05,214557
2024-08-15,77.67,78.35,76.96,77.89,468456
2024-08-16,77.31,77.42,76.86,77.2,287777
2024-08-19,76.67,77.73,76.36,76.37,563823
2024-08-20,75.95,76.82,75.15,75.48,442433
2024-08-21,75.25,75.6,74.91,75.42,645464
2024-08-22,77.44,78.05,76.67,77.78,418132
2024-08-23,78.77,79.0,78.09,78.87,317690
2024-08-26,78.2,78.83,77.76,78.49,765773
2024-08-27,79.24,79.24,78.25,78.93,420107
2024-08-28,80.77,81.38,80.34,81.06,395286
2024-08-29,79.79,79.98,78.5,79.79,404411
2024-08-30,77.49,78.13,77.03,77.93,321241
2024-09-02,78.04,78.69,77.87,78.17,494659
2024-09-03,77.73,78.53,77.34,77.69,840732
2024-09-04,80.57,81.04,79.64,80.1,781339
2024-09-05,81.7,82.4,81.08,81.95,484110
2024-09-06,78.65,78.91,77.75,78.55,556201
2024-09-09,78.63,79.86,77.97,79.31,579527
2024-09-10,77.59,78.2,77.11,77.99,333180
2024-09-11,77.4,77.78,77.03,77.67,779942
2024-09-12,78.7,78.95,78.41,78.88,474906
2024-09-13,78.06,78.06,77.13,77.94,207732
2024-09-16,76.64,76.9,76.2,76.47,549714
2024-09-17,76.04,76.77,75.81,76.55,298071
2024-09-18,76.86,77.06,76.16,76.72,484385
2024-09-19,74.1,74.48,74.05,74.45,562795
2024-09-20,74.75,75.26,74.05,74.22,379148
2024-09-23,74.23,74.8,74.02,74.15,479318
2024-09-24,74.97,75.21,74.81,74.94,736697
2024-09-25,72.99,73.34,72.3,73.06,247306
2024-09-26,74.19,74.56,73.79,74.22,201917
2024-09-27,73.62,74.22,72.97,73.64,408732
2024-09-30,74.12,74.46,73.99,74.35,389568
2024-10-01,73.74,73.82,73.06,73.54,984360
2024-10-02,75.37,75.41,74.84,75.3,638302
2024-10-03,76.39,77.11,75.86,76.18,529180
2024-10-04,73.37,73.72,72.96,73.41,411603
2024-10-07,72.41,72.72,72.1,72.23,197586
2024-10-08,72.02,72.3,71.82,72.26,252095
2024-10-09,70.76,71.17,69.75,69.78,375550
2024-10-10,70.78,71.35,70.07,71.0,460580
2024-10-11,68.33,69.27,68.29,68.47,360472
2024-10-14,67.03,67.72,66.62,66.79,446698
2024-10-15,68.85,69.05,68.37,68.53,565092
2024-10-16,69.62,70.24,69.12,69.86,321403
2024-10-17,70.39,71.42,69.68,70.88,360109
2024-10-18,69.95,70.44,69.8,70.36,289637
2024-10-21,70.72,71.74,70.26,71.02,691742
2024-10-22,67.18,67.64,66.92,67.41,189817
2024-10-23,67.44,67.7,66.76,67.5,541703
2024-10-24,70.01,70.09,68.97,69.74,579354
2024-10-25,70.72,71.04,69.6,70.44,189044
2024-10-28,69.79,70.25,69.41,69.98,350960
2024-10-29,72.12,72.52,71.83,71.99,656044
2024-10-30,73.12,73.29,72.59,72.88,296407
2024-10-31,72.88,73.26,72.41,72.49,337477
2024-11-01,73.7,74.02,73.28,73.77,417859
2024-11-04,74.06,74.41,73.84,74.3,719150
2024-11-05,71.98,72.89,71.25,71.78,544182
2024-11-06,73.6,73.61,72.77,73.17,322938
2024-11-07,73.12,73.33,73.02,73.29,244818
2024-11-08,74.73,74.82,73.9,74.18,232082
2024-11-11,78.2,79.15,77.21,77.68,484820
2024-11-12,77.05,77.45,76.38,77.15,177959
2024-11-13,76.42,76.93,75.49,76.92,336040
2024-11-14,76.32,77.29,75.42,76.52,536752
2024-11-15,75.98,76.77,75.82,76.1,261694
2024-11-18,75.0,75.25,74.44,74.86,371770
2024-11-19,73.11,73.68,73.1,73.62,404473
2024-11-20,74.03,74.12,72.7,73.34,571463
2024-11-21,75.7,75.99,74.41,75.02,246431
2024-11-22,75.8,76.38,75.62,76.05,434495
2024-11-25,73.18,74.19,72.55,73.75,413198
2024-11-26,75.1,75.24,74.85,75.17,440376
2024-11-27,75.64,75.86,75.06,75.53,224977
2024-11-28,77.71,78.04,77.27,77.32,517410
2024-11-29,78.92,79.09,78.27,78.71,301588
2024-12-02,77.52,77.83,77.17,77.6,403625
2024-12-03,74.88,75.72,74.82,75.49,300911
2024-12-04,74.13,75.56,73.51,74.0,918006
2024-12-05,74.84,75.13,74.03,74.61,432352
2024-12-06,74.49,75.76,74.31,74.61,995012
2024-12-09,74.04,74.09,73.93,73.98,329313
2024-12-10,72.03,72.3,71.59,71.99,378529
2024-12-11,70.94,71.07,70.88,71.03,763062
2024-12-12,71.96,72.8,71.63,72.32,365371
2024-12-13,73.17,73.31,72.86,73.09,505186
2024-12-16,70.98,71.5,70.7,71.41,671570
2024-12-17,69.85,70.39,69.32,69.48,365188
2024-12-18,66.83,67.21,66.7,67.09,323295
2024-12-19,67.13,67.61,66.92,67.02,383691
2024-12-20,66.75,67.1,66.42,66.96,635372
2024-12-23,67.52,68.12,66.97,67.43,503090
2024-12-24,66.37,66.86,65.83,66.45,710078
2024-12-25,65.88,66.11,65.56,65.76,381539
2024-12-26,66.39,67.01,66.31,66.62,350393
2024-12-27,66.57,67.58,66.43,67.02,270087
2024-12-30,66.16,66.42,66.13,66.25,376258
2024-12-31,67.21,67.55,66.74,67.32,334837
2025-01-01,66.72,67.46,66.65,67.15,404235
2025-01-02,65.44,65.77,65.3,65.64,291128
2025-01-03,66.19,67.14,65.68,66.66,318629
2025-01-06,66.35,67.11,66.26,66.34,374456
2025-01-07,66.9,67.46,66.89,67.02,624163
2025-01-08,67.18,67.53,66.78,67.19,371169
2025-01-09,69.64,70.43,68.81,68.94,337268
2025-01-10,70.3,71.2,70.09,70.28,639141
2025-01-13,71.75,72.23,71.07,71.66,726323
2025-01-14,71.08,71.48,70.79,70.92,376512
2025-01-15,72.59,72.76,71.72,72.65,382819
2025-01-16,71.89,72.36,71.46,72.08,205678
2025-01-17,70.11,70.35,69.53,69.89,227697
2025-01-20,70.12,70.36,69.6,69.85,416282
